date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:00	13829/13829	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:22:00%20GMT	http://www.solarcosur.com/about/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/about/index.html	(from http://www.solarcosur.com/)
14:22:01	220/220	---M--	200	added ('OK')	image/gif	etag:%22585274fb-dc%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/content_bg.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/content_bg.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:01	221/221	---M--	200	added ('OK')	image/png	etag:%22585274fb-dd%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/content_bg.png	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/content_bg.png	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:01	62/62	---M--	200	added ('OK')	image/gif	etag:%22585274fb-3e%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_bg.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_bg.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:01	105/105	---M--	200	added ('OK')	image/gif	etag:%22585274fb-69%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_top.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_top.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:01	91/91	---M--	200	added ('OK')	image/gif	etag:%22585274fb-5b%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_btm.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_btm.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:02	496/496	---M--	200	added ('OK')	image/gif	etag:%22585274fb-1f0%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/bottom.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/bottom.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:02	508/508	---M--	200	added ('OK')	image/png	etag:%22585274fb-1fc%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/bottom.png	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/bottom.png	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:02	47/47	---M--	200	added ('OK')	image/gif	etag:%22585274fb-2f%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_bullet.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/menu_bullet.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:03	2661/2661	---M--	200	added ('OK')	image/png	etag:%22e1ca6e007c91d4ef9ee063940b504870%22	https://assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/e1ca6e007c91d4ef9ee063940b504870.png	(from https://assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css)
14:22:03	2097/2097	---M--	200	added ('OK')	image/gif	etag:%22d32401d55ec237cee50e487c6eefa908%22	https://assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/d32401d55ec237cee50e487c6eefa908.gif	(from https://assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css)
14:22:03	2118/2118	---M--	200	added ('OK')	image/png	etag:%229e4dc55ad6bdd8b8bafced6241dac621%22	https://assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/9e4dc55ad6bdd8b8bafced6241dac621.png	(from https://assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css)
14:22:03	1554/1554	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b257fa9c5ac8c515ac4d77a667ce2943%22	https://assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	C:/My%20Web%20Sites/solar2/assets.jimstatic.com/b257fa9c5ac8c515ac4d77a667ce2943.svg	(from https://assets.jimstatic.com/web_oldtemplate.css.37c7b1161a14ed658939affffc0d6ce4.css)
14:22:04	0/-1	---M--	301	error ('')			http://www.solarcosur.com/j/privacy	C:/My%20Web%20Sites/solar2/www.solarcosur.com/j/privacy.1d.delayed	(from http://www.solarcosur.com/nuestra-empresa/)
14:22:04	34089/34089	---M--	200	added ('OK')	image/jpeg	etag:%226040b13a36a4b3e29e891b96a331f8f283410529%22	https://image.jimcdn.com/app/cms/image/transf/dimension=300x10000:format=jpg/path/s8305c075a15b3c36/image/i517a7e25e1176ce4/version/1306529739/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/dimension=300x10000_format=jpg/path/s8305c075a15b3c36/image/i517a7e25e1176ce4/version/1306529739/image.jpg	(from http://www.solarcosur.com/nuestra-empresa/)
14:22:04	18657/18657	---M--	200	added ('OK')	image/jpeg	etag:%225c4a39a8f84dec317e6e18cd99a344ceef8ed320%22	https://image.jimcdn.com/app/cms/image/transf/dimension=300x10000:format=jpg/path/s8305c075a15b3c36/image/i15fcfef19aa0ce14/version/1340382240/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/dimension=300x10000_format=jpg/path/s8305c075a15b3c36/image/i15fcfef19aa0ce14/version/1340382240/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:05	17239/17239	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:22:04%20GMT	http://www.solarcosur.com/nuestra-empresa/oficinas/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/nuestra-empresa/oficinas/index.html	(from http://www.solarcosur.com/nuestra-empresa/)
14:22:05	225413/225413	---M--	200	added ('OK')	image/jpeg	etag:%2220f69ae41595030e4db602cc53745a99%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/id7dffcd048bc9dbc/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/id7dffcd048bc9dbc/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:05	150328/150328	---M--	200	added ('OK')	image/jpeg	etag:%229d3fd823c61012a5fdb2e7176d3e7bd9%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i12151d95cfba80e5/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i12151d95cfba80e5/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:05	164447/164447	---M--	200	added ('OK')	image/jpeg	etag:%223e3de0fbe6c93bd43b003f862e4b48af%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i1e4f205d469ab236/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i1e4f205d469ab236/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:05	979/979	---M--	200	added ('OK')	image/jpeg	etag:%2272f56ec971a68eacc9252bdcbf2bb24de7edeb4b%22	https://image.jimcdn.com/app/cms/image/transf/dimension=25x25:mode=crop:format=jpg/path/s8305c075a15b3c36/image/id7dffcd048bc9dbc/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/dimension=25x25_mode=crop_format=jpg/path/s8305c075a15b3c36/image/id7dffcd048bc9dbc/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:06	993/993	---M--	200	added ('OK')	image/jpeg	etag:%22197bdef7649ff2a4208fe65f1d1765aa38516002%22	https://image.jimcdn.com/app/cms/image/transf/dimension=25x25:mode=crop:format=jpg/path/s8305c075a15b3c36/image/i12151d95cfba80e5/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/dimension=25x25_mode=crop_format=jpg/path/s8305c075a15b3c36/image/i12151d95cfba80e5/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:06	970/970	---M--	200	added ('OK')	image/jpeg	etag:%2227a1e1ecb1f2e287aeca3220278c900cc4a9f9c8%22	https://image.jimcdn.com/app/cms/image/transf/dimension=25x25:mode=crop:format=jpg/path/s8305c075a15b3c36/image/i1e4f205d469ab236/version/1307565534/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/dimension=25x25_mode=crop_format=jpg/path/s8305c075a15b3c36/image/i1e4f205d469ab236/version/1307565534/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:06	218072/218072	---M--	200	added ('OK')	image/jpeg	etag:%225b9972944642b7e8577f3e4c3d44888a%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i507206fa7bbc8adb/version/1306442268/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i507206fa7bbc8adb/version/1306442268/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
14:22:06	199682/199682	---M--	200	added ('OK')	image/jpeg	etag:%224f269df4270b334c9809387a38d3aa45%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i2cda09faab2d19e2/version/1340382335/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/image/i2cda09faab2d19e2/version/1340382335/image.jpg	(from http://www.solarcosur.com/productos-y-servicios/)
